NaN,NaN,505,62
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
277,67,NaN,NaN
NaN,NaN,345,63
251,78,329,64
265,73,361,75
370,61,263,65
376,61,261,97
258,111,362,65
417,61,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
396,81,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,162,344
160,333,409,99
410,94,157,301
402,108,166,262
416,93,167,234
425,93,169,204
184,136,429,89
428,89,183,123
435,96,184,95
456,88,187,80
455,95,186,66
211,66,471,113
224,69,485,98
228,61,NaN,NaN
503,102,NaN,NaN
497,119,NaN,NaN
522,134,NaN,NaN
NaN,NaN,530,167
531,183,NaN,NaN
NaN,NaN,534,199
NaN,NaN,533,216
534,242,NaN,NaN
NaN,NaN,531,266
NaN,NaN,533,279
533,290,NaN,NaN
NaN,NaN,533,323
NaN,NaN,533,306
529,300,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,518,284
NaN,NaN,511,298
510,277,NaN,NaN
NaN,NaN,499,281
NaN,NaN,503,287
498,295,525,405
501,292,527,403
531,397,512,288
498,285,527,399
508,292,NaN,NaN
503,309,NaN,NaN
508,272,524,395
NaN,NaN,502,286
507,300,NaN,NaN
NaN,NaN,500,278
505,286,NaN,NaN
507,296,NaN,NaN
NaN,NaN,520,274
521,278,NaN,NaN
NaN,NaN,521,277
NaN,NaN,520,263
535,262,NaN,NaN
NaN,NaN,532,273
559,200,NaN,NaN
550,163,NaN,NaN
NaN,NaN,565,133
572,152,NaN,NaN
565,130,NaN,NaN
NaN,NaN,573,100
NaN,NaN,568,75
NaN,NaN,529,63
NaN,NaN,532,64
NaN,NaN,492,69
NaN,NaN,484,69
NaN,NaN,472,63
NaN,NaN,463,62
280,66,444,64
262,62,456,68
275,65,433,61
442,61,281,66
296,79,418,64
304,68,438,66
320,117,430,64
421,61,322,114
342,148,NaN,NaN
361,187,415,71
375,216,430,68
427,68,397,249
276,93,NaN,NaN
NaN,NaN,NaN,NaN
468,379,303,113
317,138,425,66
NaN,NaN,424,61
426,62,NaN,NaN
314,99,418,66
420,68,320,99
NaN,NaN,430,62
430,65,NaN,NaN
426,70,NaN,NaN
419,272,424,64
410,258,424,65
302,125,405,250
402,235,290,129
